"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"tg002vmfil033","Cluster_PF_SAGE","Hard disk 2","14336","Thin","Persistent","[DS_DATA_XFILE_ARCHI-2] tg002vmfil033/tg002vmfil033_1.vmdk"
"TG002VMFLWCOL02","Cluster_SAGE","Hard disk 1","500","Thick","Persistent","[DS_DATA_SIEM] TG002VMFLWCOL02/TG002VMFLWCOL02.vmdk"
"vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","Hard disk 1","2","Thin","Persistent","[DS_DATA_MX-02] vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b/vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b.vmdk"
"vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2/vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2.vmdk"
"vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef/vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef.vmdk"
"vCLS-648dc1a4-8b98-4ec3-8246-0384c7a2301b","Cluster_PF_SAGE","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-648dc1a4-8b98-4ec3-8246-0384c7a2301b/vCLS-648dc1a4-8b98-4ec3-8246-0384c7a2301b.vmdk"
"TG002VMDBS028","Cluster_PF_BSS","Hard disk 1","500","Thin","Persistent","[DS_OS_DBSQL_4] TG002VMDBS030/TG002VMDBS030.vmdk"
"TG002VMDBS028","Cluster_PF_BSS","Hard disk 2","4096","Thin","Persistent","[DS_DATA_DBSQL-4] TG002VMDBS030/TG002VMDBS030.vmdk"
"TG002VMDBS028","Cluster_PF_BSS","Hard disk 3","250","Thin","Persistent","[DS_OS_DBSQL-1] TG002VMDBS028/TG002VMDBS028.vmdk"
"TG002VMDBS028","Cluster_PF_BSS","Hard disk 4","2048","Thin","Persistent","[DS_DATA_DBSQL-1] TG002VMDBS028/TG002VMDBS028_1.vmdk"
"TG002VMPKI100","Cluster_BSS","Hard disk 1","200","Thin","Persistent","[DS_OS_PKI_01] TG002VMPKI100/TG002VMPKI100.vmdk"
"vCLS-106ebd7b-5365-4146-864a-6c34003f7470","Cluster_SAGE","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-106ebd7b-5365-4146-864a-6c34003f7470/vCLS-106ebd7b-5365-4146-864a-6c34003f7470.vmdk"
"vCLS-ae09fa1f-002d-4865-8b81-ccdfd129bf0f","Cluster_BSS","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-ae09fa1f-002d-4865-8b81-ccdfd129bf0f/vCLS-ae09fa1f-002d-4865-8b81-ccdfd129bf0f.vmdk"
"vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","Hard disk 1","2","Thin","Persistent","[DS_DATA_MX-02] vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce/vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce.vmdk"
"vCLS-0a7771eb-3051-4a3d-b453-394548a35aec","Cluster_PF_SAGE","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-0a7771eb-3051-4a3d-b453-394548a35aec/vCLS-0a7771eb-3051-4a3d-b453-394548a35aec.vmdk"
"vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1/vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1.vmdk"
"vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","Hard disk 1","2","Thin","Persistent","[LUN-XFILE-COPY] vCLS-7b969e4c-8513-4924-baf8-d85bba09d561/vCLS-7b969e4c-8513-4924-baf8-d85bba09d561.vmdk"
"TG002VMDBS119","Cluster_SAGE","Hard disk 1","400","Thick","Persistent","[DS_OS_MFL] TG002VMDBS118/TG002VMDBS118.vmdk"
"TG002VMPKI112","Cluster_SAGE","Hard disk 1","100","Thin","Persistent","[DS_OS_MX-02] TG002VMPKI112/TG002VMPKI112.vmdk"
"TG002VMCTX101","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX101/TG002VMCTX101.vmdk"
"TG002VMCTX102","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX102/TG002VMCTX102.vmdk"
