"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMQRAD005","Cluster_ESS","disk.usage.average","KBps","358","2812,243","8705","18244","22095","1030","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","mem.consumed.average","KB","358","67035103,3966","67037184","67037184","67037184","66850970","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","mem.usage.average","%","358","25,7468","29,54","33,52","33,8","23,42","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","net.usage.average","KBps","358","2504,3966","6524","7146","7750","1356","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","cpu.ready.summation","millisecond","358","94475,7709","101400","103311","109575","83966","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","cpu.usage.average","%","358","1,6284","1,79","1,87","1,88","1,4","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","cpu.usagemhz.average","MHz","358","1148,1397","1259","1321","1325","985","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","disk.usage.average","KBps","358","1964,9609","6090","6812","7973","954","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","mem.consumed.average","KB","358","43154902,0559","43161600","43161600","43161600","42921813","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","mem.usage.average","%","358","2,5142","2,88","3,15","3,34","2","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD006","Cluster_ESS","net.usage.average","KBps","358","2094,9804","6411","6965","7595","1044","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","cpu.ready.summation","millisecond","359","96552,532","114173","125812","131921","53550","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","cpu.usage.average","%","359","9,9087","10,87","11,31","11,36","9,08","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","cpu.usagemhz.average","MHz","359","2610,8106","2865","2980","2994","2394","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","disk.usage.average","KBps","359","491,2786","2024","8643","9562","101","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","mem.consumed.average","KB","359","33482437,8301","33484290","33484294","33484296","33298260","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","mem.usage.average","%","359","10,858","12,6","15,69","17,44","9,06","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPPHOST005","Cluster_ESS","net.usage.average","KBps","359","504,6462","2058","8585","9530","112","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","cpu.ready.summation","millisecond","359","81610,7827","98500","100156","101982","66449","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","cpu.usage.average","%","359","1,6316","1,8","1,86","1,95","1,48","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","cpu.usagemhz.average","MHz","359","326,234","360","372","391","295","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","disk.usage.average","KBps","359","46,8301","64","316","337","34","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","mem.consumed.average","KB","359","33550828,8719","33553460","33553479","33553488","33367036","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","mem.usage.average","%","359","2,5051","2,95","3,07","3,26","1,81","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMSX3TEST","Cluster_BSS","net.usage.average","KBps","359","6,0613","30","30","30","1","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","cpu.ready.summation","millisecond","359","10920,1476","11814","12207","12951","9848","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","cpu.usage.average","%","359","0,05","0,06","0,06","0,06","0,04","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","cpu.usagemhz.average","MHz","359","17,7994","20","21","21","15","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","disk.usage.average","KBps","359","1,0975","2","3","3","1","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","mem.consumed.average","KB","359","66988524,9889","66990080","66990080","66990080","66803997","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","mem.usage.average","%","359","0,9931","1,01","1,02","1,02","0,99","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO157","Cluster_PF_SAGE","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
