"VM","Cluster","Snapshot","Created","SizeGB","Description"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 21-03-2026 10:07:27","21/03/2026 10:06:43","0,23","<RPData PointTime=""5250782862906620814"" WorkingSnapshotTime=""5250782863262451951"" PointSize=""249561088"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 21-03-2026 17:49:46","21/03/2026 17:49:03","0,17","<RPData PointTime=""5250783140293492104"" WorkingSnapshotTime=""5250783140651554518"" PointSize=""180355072"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 22-03-2026 01:49:28","22/03/2026 01:49:29","0,18","<RPData PointTime=""5250783428111161284"" WorkingSnapshotTime=""5250783428460279214"" PointSize=""197132288"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 22-03-2026 12:21:22","22/03/2026 12:21:01","0,26","<RPData PointTime=""5250783807253651724"" WorkingSnapshotTime=""5250783807599988250"" PointSize=""284164096"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 22-03-2026 15:08:43","22/03/2026 15:09:08","0,1","<RPData PointTime=""5250783907662509534"" WorkingSnapshotTime=""5250783908008591510"" PointSize=""110100480"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 22-03-2026 17:20:58","22/03/2026 17:20:32","0,1","<RPData PointTime=""5250783987013469094"" WorkingSnapshotTime=""5250783987357979351"" PointSize=""111149056"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBS126_RE_replica","Cluster_DR","Restore Point 16-07-2026 16:46:16","16/07/2026 16:52:25","332,52","<RPData PointTime=""5250884190189312894"" WorkingSnapshotTime=""5250884190559438419"" PointSize=""357036982272"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBS126_RE_replica","Cluster_DR","Restore Point 17-07-2026 00:45:57","17/07/2026 00:51:28","0,59","<RPData PointTime=""5250884477998055014"" WorkingSnapshotTime=""5250884478371834260"" PointSize=""628097024"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBS126_RE_replica","Cluster_DR","Restore Point 17-07-2026 08:52:32","17/07/2026 08:57:44","0,73","<RPData PointTime=""5250884769953526334"" WorkingSnapshotTime=""5250884770307663151"" PointSize=""784334848"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX012_replica","Cluster_DR","Restore Point 30-07-2026 16:08:32","30/07/2026 17:01:39","485,02","<RPData PointTime=""5250896263548588074"" WorkingSnapshotTime=""5250896263913296874"" PointSize=""520781561856"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX005_replica","Cluster_DR","Restore Point 22-03-2026 14:48:16","22/03/2026 14:45:22","60,29","<RPData PointTime=""5250783895391520114"" WorkingSnapshotTime=""5250783894480789372"" PointSize=""64738033664"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX005_replica","Cluster_DR","Restore Point 22-03-2026 17:07:35","22/03/2026 17:07:18","0,8","<RPData PointTime=""5250783978981200664"" WorkingSnapshotTime=""5250783978007701770"" PointSize=""864026624"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX005_replica","Cluster_DR","Restore Point 30-07-2026 15:21:00","30/07/2026 15:27:40","14,94","<RPData PointTime=""5250896235032810814"" WorkingSnapshotTime=""5250896235383572372"" PointSize=""16041115648"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMSEI001_replica","Cluster_DR","Restore Point 17-07-2026 00:01:27","17/07/2026 00:09:03","69,22","<RPData PointTime=""5250884451307010764"" WorkingSnapshotTime=""5250884451706771548"" PointSize=""74328309760"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMSEI001_replica","Cluster_DR","Restore Point 17-07-2026 08:01:33","17/07/2026 08:08:31","2,42","<RPData PointTime=""5250884739361181894"" WorkingSnapshotTime=""5250884739773404202"" PointSize=""2599419904"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMSEI001_replica","Cluster_DR","Restore Point 17-07-2026 16:10:06","17/07/2026 16:13:40","1,39","<RPData PointTime=""5250885032494437444"" WorkingSnapshotTime=""5250885032775084881"" PointSize=""1487929344"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMXRT101_replica","Cluster_DR","Restore Point 17-07-2026 00:01:28","17/07/2026 00:08:39","56,49","<RPData PointTime=""5250884451308378584"" WorkingSnapshotTime=""5250884451702085035"" PointSize=""60653830144"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMXRT101_replica","Cluster_DR","Restore Point 17-07-2026 08:01:33","17/07/2026 08:09:36","1,5","<RPData PointTime=""5250884739366550724"" WorkingSnapshotTime=""5250884739775591467"" PointSize=""1614807040"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMXRT101_replica","Cluster_DR","Restore Point 17-07-2026 16:10:06","17/07/2026 16:13:19","0,42","<RPData PointTime=""5250885032493721344"" WorkingSnapshotTime=""5250885032774772348"" PointSize=""448790528"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX003_replica","Cluster_DR","Restore Point 22-03-2026 14:48:07","22/03/2026 14:41:55","43,61","<RPData PointTime=""5250783895304370784"" WorkingSnapshotTime=""5250783894435477804"" PointSize=""46824161280"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX003_replica","Cluster_DR","Restore Point 22-03-2026 17:07:39","22/03/2026 17:06:33","0,33","<RPData PointTime=""5250783979018944054"" WorkingSnapshotTime=""5250783978021762531"" PointSize=""354418688"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX003_replica","Cluster_DR","Restore Point 30-07-2026 15:21:03","30/07/2026 15:26:12","4,68","<RPData PointTime=""5250896235063114214"" WorkingSnapshotTime=""5250896235410915767"" PointSize=""5027921920"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX002_replica","Cluster_DR","Restore Point 22-03-2026 14:48:19","22/03/2026 14:47:51","59,84","<RPData PointTime=""5250783895417426494"" WorkingSnapshotTime=""5250783894541726747"" PointSize=""64249397248"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX002_replica","Cluster_DR","Restore Point 22-03-2026 17:06:47","22/03/2026 16:59:59","0,02","<RPData PointTime=""5250783978504005924"" WorkingSnapshotTime=""5250783977599263157"" PointSize=""24117248"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX002_replica","Cluster_DR","Restore Point 30-07-2026 15:21:00","30/07/2026 15:25:35","0,02","<RPData PointTime=""5250896235029320854"" WorkingSnapshotTime=""5250896235405290258"" PointSize=""24117248"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC121_RE_replica","Cluster_DR","Restore Point 16-07-2026 16:46:16","16/07/2026 16:50:12","547,49","<RPData PointTime=""5250884190191409354"" WorkingSnapshotTime=""5250884190559438419"" PointSize=""587867357184"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC121_RE_replica","Cluster_DR","Restore Point 17-07-2026 00:45:56","17/07/2026 00:49:55","1,93","<RPData PointTime=""5250884477992432594"" WorkingSnapshotTime=""5250884478348709522"" PointSize=""2070937600"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC121_RE_replica","Cluster_DR","Restore Point 17-07-2026 08:52:32","17/07/2026 08:57:11","1,54","<RPData PointTime=""5250884769951372544"" WorkingSnapshotTime=""5250884770310475606"" PointSize=""1650458624"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
