"VM","PowerState","Host","Cluster","NumCPU","MemoryGB","ProvisionedSpaceGB","UsedSpaceGB","GuestOS","GuestId","HardwareVersion","ToolsStatus","ToolsVersion","IPAddress","DNSName","Datastores","Networks","Folder","Notes"
"TG001VMBK002","PoweredOn","10.80.24.50","Cluster_DR","32","96","6440,15","1424,37","Red Hat Enterprise Linux 9 (64-bit)","rhel9_64Guest","vmx-21","guestToolsRunning","12448","10.80.24.61","kpfw02","DR_DS_DATA_BKI;DR_DS_ISOSTORE;DR_DS_OS_REP","LAN_2_SERVERS;LAN_SERVEURS;VM Network","",""
"TG001VMBKI001","PoweredOn","10.80.24.50","Cluster_DR","32","96","6792,96","1667,18","Red Hat Enterprise Linux 9 (64-bit)","rhel9_64Guest","vmx-21","guestToolsRunning","12448","10.80.24.60","kpfw01","DR_DS_DATA_BKI;DR_DS_ISOSTORE;DR_DS_OS_REP","LAN_2_SERVERS;LAN_SERVEURS;VM Network","",""
"TG001VMMNTR001","PoweredOn","10.80.24.50","Cluster_DR","12","64","1907,3","1907,3","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.145","mfsdrmntr-001","DR_DS_ISOSTORE;DS_FLOOZ_OS_DB_207","LAN_SERVEURS","",""
"TG001VMDBO002","PoweredOff","10.80.24.50","Cluster_DR","32","64","1907,6","1843,2",,"oracleLinux7_64Guest","vmx-21","guestToolsNotRunning","0","",,"DR_DS_ISOSTORE;DS_FLOOZ_OS_DB_206","LAN_SERVEURS","",
"TG001VM3PP002","PoweredOff","10.80.24.40","Cluster_DR","4","16","937,95","921,6",,"rhel7_64Guest","vmx-21","guestToolsNotRunning","11269","","mfsdr3pp-002","DR_DS_ISOSTORE;DS_FLOOZ_OS_SRV__6","LAN_SERVEURS","",
"TG001VMAPP001","PoweredOn","10.80.24.50","Cluster_DR","12","32","953,7","39,27","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.141","mfsdrcore-001","DR_DS_ISOSTORE;DS_FLOOZ_OS_SRV__3","LAN_SERVEURS","",""
"TG001VMUSSD001","PoweredOn","10.80.24.50","Cluster_DR","12","32","953,7","34,25","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.134","mfsdrussd-001","DR_DS_ISOSTORE;DS_FLOOZ_OS_SRV__1","LAN_SERVEURS","",""
"TG001VMTEST001","PoweredOff","10.80.24.40","Cluster_DR","4","16","166,28","10,71",,"windows2019srv_64Guest","vmx-21","guestToolsNotRunning","12384","","WIN-KP3DJ6BB6TT","DR_DS_ISOSTORE;DS_OS_INF122","LAN_SERVEURS","",
"TG001VMDBO001","PoweredOn","10.80.24.50","Cluster_DR","32","64","11123,34","11123,34","Oracle Linux 7 (64-bit)","oracleLinux7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.131","mfsdrdb-001","DR_DS_ISOSTORE;DS_FLOOZ_DATA_BD__1;DS_FLOOZ_DATA_BD__2;DS_FLOOZ_DATA_BD__3;DS_FLOOZ_DATA_BD__4;DS_FLOOZ_DATA_BD__5;DS_FLOOZ_OS_DB_205","LAN_SERVEURS","",""
"TG001VMEWEB001","PoweredOn","10.80.24.50","Cluster_DR","8","64","1985,7","66,33","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.136","mfsdrmercgui-001","DR_DS_ISOSTORE;DS_FLOOZ_DATA_DR;DS_FLOOZ_OS_SRV__9","LAN_SERVEURS","",""
"TG001VMAPP002","PoweredOn","10.80.24.50","Cluster_DR","12","32","953,7","34,25","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.151","mfsdrcore-002","DR_DS_ISOSTORE;DS_FLOOZ_OS_SRV__4","LAN_SERVEURS","",""
"TG002VMIVR195-Model","PoweredOff","10.80.24.50","Cluster_DR","8","16","166,88","150",,"rhel7_64Guest","vmx-14","guestToolsNotRunning","10277","","TG002VMIVR195","PERTE TEST (1)","VM Network","",
"TG001VMUSSD002","PoweredOn","10.80.24.50","Cluster_DR","12","32","953,7","34,24","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.144","mfsdrussd-002","DR_DS_ISOSTORE;DS_FLOOZ_OS_SRV__2","LAN_SERVEURS","",""
"TG001VMIWEB002","PoweredOn","10.80.24.50","Cluster_DR","8","64","1985,7","66,23","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.171","mfsdrccgui-002","DR_DS_ISOSTORE;DS_FLOOZ_DATA_DR;DS_FLOOZ_OS_SRV__8","LAN_SERVEURS","",""
"TG001VMIWEB001","PoweredOn","10.80.24.50","Cluster_DR","8","64","1985,7","66,22","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.161","mfsdrccgui-001","DR_DS_ISOSTORE;DS_FLOOZ_DATA_DR;DS_FLOOZ_OS_SRV__7","LAN_SERVEURS","",""
"TG001VMDB208","PoweredOff","10.80.24.50","Cluster_DR","32","64","5334,93","1907,11",,"rhel7_64Guest","vmx-14","guestToolsNotRunning","10309","","TG001VMDBO208","DR_DS_FLOOZ_DATA_1;DR_DS_FLOOZ_OS_8;DR_DS_ISOSTORE","VM Network","",
"TG001VM3PP001","PoweredOn","10.80.24.50","Cluster_DR","4","16","937,69","18,25","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.133","mfsdr3pp-001","DR_DS_ISOSTORE;DS_FLOOZ_OS_SRV__5","LAN_SERVEURS","",""
"TG001VMEWEB002","PoweredOn","10.80.24.50","Cluster_DR","8","64","1985,7","66,22","Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","vmx-21","guestToolsRunning","11269","10.80.20.146","mfsdrmercgui-002","DR_DS_ISOSTORE;DS_FLOOZ_DATA_DR;DS_FLOOZ_OS_SRV__10","LAN_SERVEURS","",""
"TG001VMDB209","PoweredOff","10.80.24.40","Cluster_DR","32","64","5334,93","676,79",,"rhel7_64Guest","vmx-14","guestToolsNotRunning","10309","","TG001VMDBO209","DR_DS_FLOOZ_DATA_2;DR_DS_FLOOZ_OS_9;DR_DS_ISOSTORE","VM Network","",
"TG001VMREP002","PoweredOn","10.80.24.40","Cluster_DR","32","128","26228,14","4754,34","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-21","guestToolsRunning","12384","10.80.24.70","TG001VMREP002.moov-africa.tg","DR_DS_DATA_REP;DR_DS_ISOSTORE;DS_OS_MNGMT","VM Network","",""
"TG002VMREP001","PoweredOn","10.80.24.40","Cluster_DR","32","128","728,16","275,81","Microsoft Windows Server 2019 (64-bit)","windows9Server64Guest","vmx-14","guestToolsRunning","12389","10.80.24.71","TG002VMREP001.moov-africa.tg","DR_DS_OS_REP","VM Network","",""
"TG001VMREP001","PoweredOn","10.80.24.40","Cluster_DR","8","16","316,1","27,8","Microsoft Windows Server 2019 (64-bit)","windows2019srv_64Guest","vmx-21","guestToolsRunning","12384","10.80.24.80","TG001VMREP001.moov-africa.tg","DR_DS_ISOSTORE;DS_OS_MNGMT","VM Network","",""
"TG001VMICC131","PoweredOn","10.80.24.50","Cluster_DR","8","32","332,11","332,11","Microsoft Windows Server 2019 (64-bit)","windows9Server64Guest","vmx-14","guestToolsRunning","11265","10.80.24.164","TG001VMICC131.moov-africa.tg","DR_DS_ISOSTORE;DS_OS_ICCARE_DR","VM Network","",""
"TG001VMICC130","PoweredOn","10.80.24.50","Cluster_DR","8","32","232,11","232,11","Microsoft Windows Server 2019 (64-bit)","windows9Server64Guest","vmx-14","guestToolsRunning","11265","10.80.24.12","TG001VMICC130.moov-africa.tg","DR_DS_ISOSTORE;DS_OS_ICCARE_DR","VM Network","",""
"TG001VMINF122","PoweredOn","10.80.24.50","Cluster_DR","4","21","817,67","248,94","VMware Photon OS (64-bit)","other3xLinux64Guest","vmx-10","guestToolsRunning","12389","10.80.24.122","tg001vminf122.moov-africa.tg","DS_OS_MNGMT","VM Network","","VMware vCenter Server Appliance"
"vproxy-DR","PoweredOn","10.80.24.50","Cluster_DR","4","8","164,34","164,34","SUSE Linux Enterprise 12 (64-bit)","sles12_64Guest","vmx-11","guestToolsRunning","11269","10.80.24.5","vproxydr","DS_OS_MNGMT","VM Network","","This is Backup and Recovery vProxy Appliance"
"TG001VMINF105","PoweredOn","10.80.24.20","Cluster_DR_Ext.","8","16","295,71","108,88","VMware Photon OS (64-bit)","other3xLinux64Guest","vmx-10","guestToolsRunning","10346","10.80.24.25","tg001vminf105.moov-africa.tg","DR_DS_OS_MGMT","VM Network","Discovered virtual machine","VMware vCenter Server Appliance"
"TG002VMEXH001","PoweredOff","10.80.24.20","Cluster_DR_Ext.","16","64","64,22","0",,"windows9Server64Guest","vmx-14",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
"TG002VMDBS191","PoweredOff","10.80.24.20","Cluster_DR_Ext.","6","32","32,19","0",,"windows8Server64Guest","vmx-14",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
