"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG001VMINF122","Cluster_DR","Hard disk 7","15","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_6-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 8","25","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_7-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 9","1","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_8-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 10","10","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_9-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 11","10","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_10-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 12","100","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_11-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 13","50","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_12-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 14","25","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_13-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 15","15","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_14-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 16","100","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_15-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 17","200","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_16-000001.vmdk"
"TG001VMTEST001","Cluster_DR","Hard disk 1","150","Thin","Persistent","[DS_OS_INF122] TG001VMTEST001/TG001VMTEST001.vmdk"
"TG001VMDB209","Cluster_DR","Hard disk 1","150","Thin","Persistent","[DR_DS_FLOOZ_OS_9] TG001VMDB209/TG001VMDB209.vmdk"
"TG001VMDB209","Cluster_DR","Hard disk 2","5120","Thin","Persistent","[DR_DS_FLOOZ_DATA_2] TG001VMDB209/TG001VMDB209.vmdk"
"TG001VMDBO002","Cluster_DR","Hard disk 1","1843,2","Thick","Persistent","[DS_FLOOZ_OS_DB_206] TG001VMDBO002/TG001VMDBO002.vmdk"
"TG001VMDB208","Cluster_DR","Hard disk 1","150","Thin","Persistent","[DR_DS_FLOOZ_OS_8] TG001VMDB208/TG001VMDB208.vmdk"
"TG001VMDB208","Cluster_DR","Hard disk 2","5120","Thin","Persistent","[DR_DS_FLOOZ_DATA_1] TG001VMDB208/TG001VMDB208_1.vmdk"
"TEST","Cluster_DR","Hard disk 1","150","Thin","Persistent","[DS_OS_MNGMT] TEST/TEST.vmdk"
"TG002VMIVR195-Model","Cluster_DR","Hard disk 1","150","Thick","Persistent","[PERTE TEST (1)] TG002VMIVR195-Model/TG002VMIVR195-Model.vmdk"
"TG001VMICC130","Cluster_DR","Hard disk 1","200","Thick","Persistent","[DS_OS_ICCARE_DR] TG001VMICC130/TG001VMICC130.vmdk"
"TG001VMICC131","Cluster_DR","Hard disk 1","300","Thick","Persistent","[DS_OS_ICCARE_DR] TG001VMICC131/TG001VMICC131.vmdk"
"TG001VMUSSD001","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__1] TG001VMUSSD001/TG001VMUSSD001.vmdk"
"TG001VMUSSD002","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__2] TG001VMUSSD002/TG001VMUSSD002.vmdk"
"TG001VMAPP001","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__3] TG001VMAPP001/TG001VMAPP001.vmdk"
"TG001VMAPP002","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__4] TG001VMAPP002/TG001VMAPP002.vmdk"
"TG001VM3PP001","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__5] TG001VM3PP001/TG001VM3PP001.vmdk"
"TG001VM3PP002","Cluster_DR","Hard disk 1","921,6","Thick","Persistent","[DS_FLOOZ_OS_SRV__6] TG001VM3PP002/TG001VM3PP002.vmdk"
"vproxy-DR","Cluster_DR","Hard disk 1","58,59","Thick","Persistent","[DS_OS_MNGMT] vproxy-DR/vproxy-DR.vmdk"
