"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG001VMEWEB001","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","cpu.ready.summation","millisecond","358","30848,9665","32805","33421","34053","22032","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","cpu.usage.average","%","358","0,0707","0,07","0,1","0,14","0,06","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","cpu.usagemhz.average","MHz","358","18,6425","20","27","37","17","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","disk.usage.average","KBps","358","0,0838","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","mem.consumed.average","KB","358","2252359,1285","2269184","2269184","2269184","2240415","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","mem.usage.average","%","358","0,9903","0,99","1","1,04","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP002","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","cpu.ready.summation","millisecond","358","27051,6927","29161","30040","31097","22759","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","cpu.usage.average","%","358","0,0699","0,07","0,08","0,14","0,06","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","cpu.usagemhz.average","MHz","358","18,9106","20","20","37","17","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","disk.usage.average","KBps","358","0,0559","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","mem.consumed.average","KB","358","2255888,324","2269184","2269184","2269184","2231996","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","mem.usage.average","%","358","0,9902","0,99","1","1","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD002","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","cpu.ready.summation","millisecond","358","18652,0475","19910","20209","20349","15193","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","cpu.usage.average","%","358","0,0992","0,11","0,11","0,11","0,09","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","cpu.usagemhz.average","MHz","358","17,5447","18","18","19","16","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","disk.usage.average","KBps","358","0,0531","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","mem.consumed.average","KB","358","3810818,0223","3823616","3823616","3823616","3794614","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","mem.usage.average","%","358","0,99","0,99","0,99","0,99","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB002","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","cpu.ready.summation","millisecond","358","18185,7011","19284","19714","21018","15452","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","cpu.usage.average","%","358","0,0991","0,11","0,11","0,11","0,09","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","cpu.usagemhz.average","MHz","358","17,4358","18","18","19","15","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","disk.usage.average","KBps","358","0,0503","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","mem.consumed.average","KB","358","3817843,2598","3829760","3829760","3829760","3802783","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","mem.usage.average","%","358","0,99","0,99","0,99","0,99","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMIWEB001","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","cpu.ready.summation","millisecond","358","9634,014","11801","12206","12467","7199","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","cpu.usage.average","%","358","0,1968","0,21","0,21","0,32","0,18","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","cpu.usagemhz.average","MHz","358","16,2737","17","17","27","15","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","disk.usage.average","KBps","358","0,0531","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","mem.consumed.average","KB","358","1386419,9469","1394688","1394688","1394688","1380602","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","mem.usage.average","%","358","0,9919","1,01","1,02","1,03","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VM3PP001","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","cpu.ready.summation","millisecond","358","19733,4358","21297","22053","23018","13583","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","cpu.usage.average","%","358","0,0973","0,1","0,11","0,11","0,09","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","cpu.usagemhz.average","MHz","358","16,8156","18","18","18","16","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","disk.usage.average","KBps","358","0,0475","0","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","mem.consumed.average","KB","358","3812674,3464","3823616","3823616","3823616","3807232","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","mem.usage.average","%","358","0,99","0,99","0,99","1","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB002","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP002","Cluster_DR","cpu.ready.summation","millisecond","118","1611,9831","3174","4062","4064","858","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG001VMREP002","Cluster_DR","cpu.usage.average","%","118","3,1989","6,51","8,82","10,28","0,18","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG001VMREP002","Cluster_DR","cpu.usagemhz.average","MHz","118","2150,1017","4370","5915","6897","126","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG001VMREP002","Cluster_DR","disk.usage.average","KBps","118","5430,4661","41021","92112","98748","0","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG001VMREP002","Cluster_DR","mem.consumed.average","KB","118","23434302,9237","25489886","62035895","65807426","2662144","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG001VMREP002","Cluster_DR","mem.usage.average","%","118","8,7605","75,72","85,59","86,24","0,99","08/09/2026 12:00:00","08/09/2026 22:15:00"
