"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,991","1","1,01","1,02","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","11541,7067","12330","12629","12826","10011","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,1051","0,11","0,11","0,14","0,1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","23,6034","24","25","31","22","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0,4022","1","2","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","66979746,9497","66985984","66985984","66985984","66613840","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,9912","1","1,02","1,03","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB213","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","24847,9385","25866","26240","26581","22766","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,0543","0,06","0,06","0,06","0,05","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","53,6285","57","57","58","50","10/08/2026 00:00:00","08/09/2026 18:00:00"
