"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_1.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_2.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_3.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 6","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_4.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 7","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_5.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 8","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_6.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 9","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_7.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 10","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_8.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 11","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_9.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 12","1024","Thin","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224_10.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 13","1228,8","Thin","Persistent","[DS_FLZN_DATA_REPDB_1(2)] TG002VMDBO224/TG002VMDBO224.vmdk"
"TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_APP_3] TG002VMAPP216/TG002VMAPP216.vmdk"
"TG002VMAPI212","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_API_3] TG002VMAPI212/TG002VMAPI212.vmdk"
"TG002VMUSD218","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_USD_3] TG002VMUSD218/TG002VMUSD218.vmdk"
"TG002VMUSD219","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_USD_4] TG002VMUSD219/TG002VMUSD219.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZN_OS_REPDB_2] TG002VMDBO225/TG002VMDBO225.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_1.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_2.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_3.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 6","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_4.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 7","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_5.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 8","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_6.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 9","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_7.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 10","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_8.vmdk"
"TG002VMDBO225","CLUSTER_PF_FLOOZ_PROD","Hard disk 11","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_2] TG002VMDBO225/TG002VMDBO225_9.vmdk"
"TG002VMPPP001_old","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_3PP] TG002VMPPP001/TG002VMPPP001.vmdk"
"TG002VMPPP002","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_3PP] TG002VMPPP002/TG002VMPPP002.vmdk"
"TG002VMPPP003","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_3PP] TG002VMPPP003/TG002VMPPP003.vmdk"
"TG002VMPPP004","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_3PP] TG002VMPPP004/TG002VMPPP004.vmdk"
"TG002VMRPA001","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZN_OS_RPA] TG002VMRPA001/TG002VMRPA001.vmdk"
"TG002VMRPA002","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZN_OS_RPA] TG002VMRPA002/TG002VMRPA002.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","8192","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_1.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_2.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_3.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_4.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 6","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_5.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 7","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_6.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 8","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_7.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 9","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_8.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 10","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_9.vmdk"
"TG002VMBKP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 11","1024","Thick","Persistent","[DS_FLZN_OS_BACKUP] TG002VMBKP001/TG002VMBKP001_10.vmdk"
"TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_3PP] TG002VMPPP001_1/TG002VMPPP001.vmdk"
"TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZ_BACKUP] TG002VMBKP102/TG002VMBKP102.vmdk"
"TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","1024","Thick","Persistent","[DS_FLZ_BACKUP] TG002VMBKP102/TG002VMBKP102_1.vmdk"
"TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","1024","Thick","Persistent","[DS_FLZ_BACKUP] TG002VMBKP102/TG002VMBKP102_2.vmdk"
"TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","1024","Thick","Persistent","[DS_FLZ_BACKUP] TG002VMBKP102/TG002VMBKP102_3.vmdk"
"TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","1024","Thick","Persistent","[DS_FLZ_BACKUP] TG002VMBKP102/TG002VMBKP102_4.vmdk"
"vproxy-fz_OLD","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","58,59","Thin","Persistent","[DS_FLZ_BACKUP] vproxy-fz/vproxy-fz.vmdk"
