"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_FLZN_OS_APP","VMFS","3071,75","2405,77","665,98","21,68","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_DATA_XF_NEW","VMFS","5119,75","2046,90","3072,85","60,02","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_MTR","VMFS","4095,75","3594,28","501,47","12,24","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_VA","VMFS","3071,75","3070,29","1,46","0,05","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_USD_2","VMFS","1023,75","490,02","533,73","52,13","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_REPDB","VMFS","3071,75","3070,29","1,46","0,05","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_BD","VMFS","16383,75","6141,58","10242,17","62,51","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_REPDB_2","VMFS","11751,75","1509,78","10241,97","87,15","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_RPT_2","VMFS","1023,75","1022,33","1,42","0,14","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_USD_2","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZ_BACKUP","VMFS","6143,75","985,54","5158,21","83,96","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_VA_1","VMFS","1023,75","1022,33","1,42","0,14","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_EWB_2","VMFS","2047,75","1022,30","1025,45","50,08","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
